priority,plan_id,facility_id,region,prefecture,facility,facility_source,facility_normalized,category,treatment,treatment_class,status,match_score,document_url,amount,tax,unit,products,makers,score,page,excerpt,qc_reason,error
A,P00787,F0533,近畿,大阪府,TCB 東京中央美容外科・TCB スキンクリニック BSクリニック Prestige 梅田大阪駅前院,TCB 東京中央美容外科・TCB スキンクリニック BSクリニック Prestige 梅田大阪駅前院,TCB 東京中央美容外科・TCB スキンクリニック BSクリニック Prestige 梅田大阪駅前院,第二種,自家多血小板血漿（PRP）を用いた関節治療,PRP,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2602016/5/0,225700,税込,3 回コース,,,1,,"ご署名いただく際に全額をお支払い いただきます。 治療当日にキャンセルされた場合は、すでにお支払いいただいた費用の返金はいたし かねます。また、3 回コースをご契約後にキャンセルされた場合は、諸経費等を差し引 いた上で残高を返金いたします。 項目 費用(税込) 自家PRP 作成料 225,700 円 治療メニュー 回数 費用(税込) 関節1 箇所 1 回 363,000 円 関節2 箇所 1 回 726,000 円 関節1 箇所 3 回 998,000 円 関節2 箇所 3 回 1,996,000 円 PRP OA 初版 2025/10/22 6 12. 試料",,
A,P00787,F0533,近畿,大阪府,TCB 東京中央美容外科・TCB スキンクリニック BSクリニック Prestige 梅田大阪駅前院,TCB 東京中央美容外科・TCB スキンクリニック BSクリニック Prestige 梅田大阪駅前院,TCB 東京中央美容外科・TCB スキンクリニック BSクリニック Prestige 梅田大阪駅前院,第二種,自家多血小板血漿（PRP）を用いた関節治療,PRP,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2602016/5/0,363000,税込,3 回コース,,,1,,"いただいた費用の返金はいたし かねます。また、3 回コースをご契約後にキャンセルされた場合は、諸経費等を差し引 いた上で残高を返金いたします。 項目 費用(税込) 自家PRP 作成料 225,700 円 治療メニュー 回数 費用(税込) 関節1 箇所 1 回 363,000 円 関節2 箇所 1 回 726,000 円 関節1 箇所 3 回 998,000 円 関節2 箇所 3 回 1,996,000 円 PRP OA 初版 2025/10/22 6 12. 試料等の保管および廃棄の方法 患者様から採取した血液および自家PRP は、患者様ご自身の治療のみに使用",,
A,P00787,F0533,近畿,大阪府,TCB 東京中央美容外科・TCB スキンクリニック BSクリニック Prestige 梅田大阪駅前院,TCB 東京中央美容外科・TCB スキンクリニック BSクリニック Prestige 梅田大阪駅前院,TCB 東京中央美容外科・TCB スキンクリニック BSクリニック Prestige 梅田大阪駅前院,第二種,自家多血小板血漿（PRP）を用いた関節治療,PRP,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2602016/5/0,726000,税込,1 回,,,1,,"コースをご契約後にキャンセルされた場合は、諸経費等を差し引 いた上で残高を返金いたします。 項目 費用(税込) 自家PRP 作成料 225,700 円 治療メニュー 回数 費用(税込) 関節1 箇所 1 回 363,000 円 関節2 箇所 1 回 726,000 円 関節1 箇所 3 回 998,000 円 関節2 箇所 3 回 1,996,000 円 PRP OA 初版 2025/10/22 6 12. 試料等の保管および廃棄の方法 患者様から採取した血液および自家PRP は、患者様ご自身の治療のみに使用します。 ただし、学術研究等を目的として、血液や自家",,
A,P00787,F0533,近畿,大阪府,TCB 東京中央美容外科・TCB スキンクリニック BSクリニック Prestige 梅田大阪駅前院,TCB 東京中央美容外科・TCB スキンクリニック BSクリニック Prestige 梅田大阪駅前院,TCB 東京中央美容外科・TCB スキンクリニック BSクリニック Prestige 梅田大阪駅前院,第二種,自家多血小板血漿（PRP）を用いた関節治療,PRP,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2602016/5/0,998000,税込,1 回,,,0,,"差し引 いた上で残高を返金いたします。 項目 費用(税込) 自家PRP 作成料 225,700 円 治療メニュー 回数 費用(税込) 関節1 箇所 1 回 363,000 円 関節2 箇所 1 回 726,000 円 関節1 箇所 3 回 998,000 円 関節2 箇所 3 回 1,996,000 円 PRP OA 初版 2025/10/22 6 12. 試料等の保管および廃棄の方法 患者様から採取した血液および自家PRP は、患者様ご自身の治療のみに使用します。 ただし、学術研究等を目的として、血液や自家PRP の測定を行い、データを取得するこ とがありま",,
A,P00789,F0535,近畿,大阪府,たけうち整形外科リウマチ科,たけうち整形外科リウマチ科,たけうち整形外科リウマチ科,第二種,多血小板血漿（PRP）を用いた変形性関節症治療,PRP,AUTO,0.952,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2101003/5/0,300000,税別,,,,8,4,"費用 150,000 円(税抜) 300,000 円(税抜) 保険適用:2000 円前後/回 (膝関節内投与の場合)",line-level medium price context,
A,P00790,F0536,近畿,大阪府,はせがわ整形外科運動器エコークリニック,はせがわ整形外科運動器エコークリニック,はせがわ整形外科運動器エコークリニック,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎の治療（関節内組織）,PRP,AUTO,0.9838,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2511001/5/0,49000,税込,,ACP MAX|ACP,Arthrex,8,,"本治療にかかる費用は、以下のとおりです。なお、費用に含まれるのは、治療に伴う 診査、自家PRP 調製のための採血にかかる費用、自家PRP 調製費用、注入にかかる 費用であり、以下が費用の総額となります。 治療の種類 平均的な血小板注入量 費用(税込) ACP-PRP 20 億個 49,000 円 HD-PRP(ACP MAX の場合) 90 億個 169,000 円 • 治療終了後も定期的な受診が必要です。 11.試料等の保存及び廃棄の方法 患者様から採取した血液と作製したPRP は、患者様ご自身の治療のみに使用しま す。ただし、症例検討や学会発表を目的として、血液やPRP の測定を行い、データ を取",,
A,P00790,F0536,近畿,大阪府,はせがわ整形外科運動器エコークリニック,はせがわ整形外科運動器エコークリニック,はせがわ整形外科運動器エコークリニック,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎の治療（関節内組織）,PRP,AUTO,0.9838,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2511001/5/0,169000,税込,,ACP MAX|ACP,Arthrex,8,,"う 診査、自家PRP 調製のための採血にかかる費用、自家PRP 調製費用、注入にかかる 費用であり、以下が費用の総額となります。 治療の種類 平均的な血小板注入量 費用(税込) ACP-PRP 20 億個 49,000 円 HD-PRP(ACP MAX の場合) 90 億個 169,000 円 • 治療終了後も定期的な受診が必要です。 11.試料等の保存及び廃棄の方法 患者様から採取した血液と作製したPRP は、患者様ご自身の治療のみに使用しま す。ただし、症例検討や学会発表を目的として、血液やPRP の測定を行い、データ を取得することがあります。 血液およびPRP は微量で全量を使用するため、保管はし",,
A,P00791,F0537,近畿,大阪府,ひらまつ整形外科 難波膝スポーツクリニック,ひらまつ整形外科 難波膝スポーツクリニック,ひらまつ整形外科 難波膝スポーツクリニック,第二種,変形性関節症に対する多血小板血漿（PRP）関節内投与療法,PRP,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605008/5/0,150000,税込,,,,8,4,"14.費用について 細胞の提供に際して費用は発生しません。 治療の提供に際しては、本治療は公的保険の対象ではありませんので、当院所定の施術料として150,000円 (税込)をお支払いいただきます。 ※患者様の症状、その他の事情等により治療費が変動する場合があります。",line-level medium price context,
A,P00792,F0538,近畿,大阪府,まつうら整形・肩肘スポーツクリニック,まつうら整形・肩肘スポーツクリニック,まつうら整形・肩肘スポーツクリニック,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎の治療（関節内組織）,PRP,QC,0.9838,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2512006/5/0,300000,不明,両側,Angel,Arthrex,6,7,"PRP 両側 Angel 300,000 円 (3) 採血を開始してからのキャンセルは、上記費用をいただきます。 11. 試料等の保存及び廃棄の方法",price candidates remain ambiguous,
A,P00792,F0538,近畿,大阪府,まつうら整形・肩肘スポーツクリニック,まつうら整形・肩肘スポーツクリニック,まつうら整形・肩肘スポーツクリニック,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎の治療（関節内組織）,PRP,QC,0.9838,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2512006/5/0,49000,不明,片側,ACP|Angel,Arthrex,3,7,"PRP 片側 ACP 49,000 円 Angel 250,000 円",price candidates remain ambiguous,
A,P00792,F0538,近畿,大阪府,まつうら整形・肩肘スポーツクリニック,まつうら整形・肩肘スポーツクリニック,まつうら整形・肩肘スポーツクリニック,第二種,自家多血小板血漿（PRP）を用いた慢性関節炎の治療（関節内組織）,PRP,QC,0.9838,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2512006/5/0,250000,不明,両側,Angel,Arthrex,3,7,"49,000 円 Angel 250,000 円 PRP 両側 Angel",price candidates remain ambiguous,
A,P00793,F0539,近畿,大阪府,アスレティックス整形外科肩膝スポーツクリニック,アスレティックス整形外科肩膝スポーツクリニック,アスレティックス整形外科肩膝スポーツクリニック,第二種,変形性関節症に対する多血小板血漿（PRP）関節内投与療法,PRP,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2511016/5/0,55000,不明,,,,7,3,"14.費用について 細胞の提供に際して費用は発生しません。 治療の提供に際しては、本治療は公的保険の対象ではありませんので、当院所定の施術料として55,000 円を お支払いいただきます。 ※患者様の症状、その他の事情等により治療費が変動する場合があります。",line-level medium price context,
A,P00794,F0540,近畿,大阪府,ソラリス整形外科 大阪 福島リハビリテーションクリニック,ソラリス整形外科 大阪 福島リハビリテーションクリニック,ソラリス整形外科 大阪 福島リハビリテーションクリニック,第二種,自家脂肪組織由来の培養間葉系幹細胞を用いた関節疾患の治療,脂肪由来MSC,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504015/5/0,990000,税別,1 回,,,7,,"提供に係る費用について 本治療に係る費用は健康保険の適用がございません。治療にかかる費用全額を患者様ご自身でご 負担いただきます。 実際に必要となる費用は以下の通りです。 投与細胞数 治療費用(税別) 1 約3,000 万個×1 回分 99 万円 2 約5,000 万個×1 回分 119 万円 3 約1 億個×1 回分 129 万円 4 約3,000 万個×3 回分 199 万円 なお、脂肪組織の採取の施術開始後や細胞加工の開始後、あるいは3 回投与の場合に1 回目投 与の後や2 回目投与の後に同意を撤回された場合など、",,
A,P00794,F0540,近畿,大阪府,ソラリス整形外科 大阪 福島リハビリテーションクリニック,ソラリス整形外科 大阪 福島リハビリテーションクリニック,ソラリス整形外科 大阪 福島リハビリテーションクリニック,第二種,自家脂肪組織由来の培養間葉系幹細胞を用いた関節疾患の治療,脂肪由来MSC,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504015/5/0,1190000,税別,1 回,,,7,,"ざいません。治療にかかる費用全額を患者様ご自身でご 負担いただきます。 実際に必要となる費用は以下の通りです。 投与細胞数 治療費用(税別) 1 約3,000 万個×1 回分 99 万円 2 約5,000 万個×1 回分 119 万円 3 約1 億個×1 回分 129 万円 4 約3,000 万個×3 回分 199 万円 なお、脂肪組織の採取の施術開始後や細胞加工の開始後、あるいは3 回投与の場合に1 回目投 与の後や2 回目投与の後に同意を撤回された場合など、それまでに費用が発生している場合は、 以下の通り、患者様ご自身に",,
A,P00794,F0540,近畿,大阪府,ソラリス整形外科 大阪 福島リハビリテーションクリニック,ソラリス整形外科 大阪 福島リハビリテーションクリニック,ソラリス整形外科 大阪 福島リハビリテーションクリニック,第二種,自家脂肪組織由来の培養間葉系幹細胞を用いた関節疾患の治療,脂肪由来MSC,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504015/5/0,1290000,税別,1 回,,,7,,"きます。 実際に必要となる費用は以下の通りです。 投与細胞数 治療費用(税別) 1 約3,000 万個×1 回分 99 万円 2 約5,000 万個×1 回分 119 万円 3 約1 億個×1 回分 129 万円 4 約3,000 万個×3 回分 199 万円 なお、脂肪組織の採取の施術開始後や細胞加工の開始後、あるいは3 回投与の場合に1 回目投 与の後や2 回目投与の後に同意を撤回された場合など、それまでに費用が発生している場合は、 以下の通り、患者様ご自身にご負担いただきますのでご了承ください。 同意撤回の時期 キ",,
A,P00794,F0540,近畿,大阪府,ソラリス整形外科 大阪 福島リハビリテーションクリニック,ソラリス整形外科 大阪 福島リハビリテーションクリニック,ソラリス整形外科 大阪 福島リハビリテーションクリニック,第二種,自家脂肪組織由来の培養間葉系幹細胞を用いた関節疾患の治療,脂肪由来MSC,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504015/5/0,100000,税別,,,,0,,は、 以下の通り、患者様ご自身にご負担いただきますのでご了承ください。 同意撤回の時期 キャンセル費用(税別) 1 2 3 4 同意日~脂肪採取予定日の3 日前 一律 5 万円 をお支払いいただきます 脂肪採取予定日の2 日前 ~脂肪採取当日の脂肪組織採取前 一律 10 万円をお支払いいただきます 脂肪組織採取後~細胞加工開始前 99 万円 119 万円 129 万円 199 万円 細胞加工開始後~細胞投与前 99 万円 119 万円 129 万円 199 万円 細胞投与後 治療費用全額をお支払いいただきます 13. 細胞提供者及び再生医療等を受ける者に対する健康,,
A,P00794,F0540,近畿,大阪府,ソラリス整形外科 大阪 福島リハビリテーションクリニック,ソラリス整形外科 大阪 福島リハビリテーションクリニック,ソラリス整形外科 大阪 福島リハビリテーションクリニック,第二種,自家脂肪組織由来の培養間葉系幹細胞を用いた関節疾患の治療,脂肪由来MSC,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504015/5/0,990000,税別,,,,0,,同意撤回の時期 キャンセル費用(税別) 1 2 3 4 同意日~脂肪採取予定日の3 日前 一律 5 万円 をお支払いいただきます 脂肪採取予定日の2 日前 ~脂肪採取当日の脂肪組織採取前 一律 10 万円をお支払いいただきます 脂肪組織採取後~細胞加工開始前 99 万円 119 万円 129 万円 199 万円 細胞加工開始後~細胞投与前 99 万円 119 万円 129 万円 199 万円 細胞投与後 治療費用全額をお支払いいただきます 13. 細胞提供者及び再生医療等を受ける者に対する健康被害の補償の方法 健康被害が発生した場合は、適切な医療を提供するほか、,,
A,P00794,F0540,近畿,大阪府,ソラリス整形外科 大阪 福島リハビリテーションクリニック,ソラリス整形外科 大阪 福島リハビリテーションクリニック,ソラリス整形外科 大阪 福島リハビリテーションクリニック,第二種,自家脂肪組織由来の培養間葉系幹細胞を用いた関節疾患の治療,脂肪由来MSC,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504015/5/0,1190000,税別,,,,0,,キャンセル費用(税別) 1 2 3 4 同意日~脂肪採取予定日の3 日前 一律 5 万円 をお支払いいただきます 脂肪採取予定日の2 日前 ~脂肪採取当日の脂肪組織採取前 一律 10 万円をお支払いいただきます 脂肪組織採取後~細胞加工開始前 99 万円 119 万円 129 万円 199 万円 細胞加工開始後~細胞投与前 99 万円 119 万円 129 万円 199 万円 細胞投与後 治療費用全額をお支払いいただきます 13. 細胞提供者及び再生医療等を受ける者に対する健康被害の補償の方法 健康被害が発生した場合は、適切な医療を提供するほか、補償については協議,,
A,P00794,F0540,近畿,大阪府,ソラリス整形外科 大阪 福島リハビリテーションクリニック,ソラリス整形外科 大阪 福島リハビリテーションクリニック,ソラリス整形外科 大阪 福島リハビリテーションクリニック,第二種,自家脂肪組織由来の培養間葉系幹細胞を用いた関節疾患の治療,脂肪由来MSC,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504015/5/0,1290000,税別,,,,0,,(税別) 1 2 3 4 同意日~脂肪採取予定日の3 日前 一律 5 万円 をお支払いいただきます 脂肪採取予定日の2 日前 ~脂肪採取当日の脂肪組織採取前 一律 10 万円をお支払いいただきます 脂肪組織採取後~細胞加工開始前 99 万円 119 万円 129 万円 199 万円 細胞加工開始後~細胞投与前 99 万円 119 万円 129 万円 199 万円 細胞投与後 治療費用全額をお支払いいただきます 13. 細胞提供者及び再生医療等を受ける者に対する健康被害の補償の方法 健康被害が発生した場合は、適切な医療を提供するほか、補償については協議に応じます。 ま,,
A,P00794,F0540,近畿,大阪府,ソラリス整形外科 大阪 福島リハビリテーションクリニック,ソラリス整形外科 大阪 福島リハビリテーションクリニック,ソラリス整形外科 大阪 福島リハビリテーションクリニック,第二種,自家脂肪組織由来の培養間葉系幹細胞を用いた関節疾患の治療,脂肪由来MSC,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504015/5/0,990000,不明,,,,-1,,日の3 日前 一律 5 万円 をお支払いいただきます 脂肪採取予定日の2 日前 ~脂肪採取当日の脂肪組織採取前 一律 10 万円をお支払いいただきます 脂肪組織採取後~細胞加工開始前 99 万円 119 万円 129 万円 199 万円 細胞加工開始後~細胞投与前 99 万円 119 万円 129 万円 199 万円 細胞投与後 治療費用全額をお支払いいただきます 13. 細胞提供者及び再生医療等を受ける者に対する健康被害の補償の方法 健康被害が発生した場合は、適切な医療を提供するほか、補償については協議に応じます。 また、万が一に備え、日本整形外科学会の医師賠償責任保険に加入してい,,
A,P00794,F0540,近畿,大阪府,ソラリス整形外科 大阪 福島リハビリテーションクリニック,ソラリス整形外科 大阪 福島リハビリテーションクリニック,ソラリス整形外科 大阪 福島リハビリテーションクリニック,第二種,自家脂肪組織由来の培養間葉系幹細胞を用いた関節疾患の治療,脂肪由来MSC,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504015/5/0,1190000,不明,,,,-1,,一律 5 万円 をお支払いいただきます 脂肪採取予定日の2 日前 ~脂肪採取当日の脂肪組織採取前 一律 10 万円をお支払いいただきます 脂肪組織採取後~細胞加工開始前 99 万円 119 万円 129 万円 199 万円 細胞加工開始後~細胞投与前 99 万円 119 万円 129 万円 199 万円 細胞投与後 治療費用全額をお支払いいただきます 13. 細胞提供者及び再生医療等を受ける者に対する健康被害の補償の方法 健康被害が発生した場合は、適切な医療を提供するほか、補償については協議に応じます。 また、万が一に備え、日本整形外科学会の医師賠償責任保険に加入しています。 14,,
A,P00794,F0540,近畿,大阪府,ソラリス整形外科 大阪 福島リハビリテーションクリニック,ソラリス整形外科 大阪 福島リハビリテーションクリニック,ソラリス整形外科 大阪 福島リハビリテーションクリニック,第二種,自家脂肪組織由来の培養間葉系幹細胞を用いた関節疾患の治療,脂肪由来MSC,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504015/5/0,1290000,不明,,,,-1,,をお支払いいただきます 脂肪採取予定日の2 日前 ~脂肪採取当日の脂肪組織採取前 一律 10 万円をお支払いいただきます 脂肪組織採取後~細胞加工開始前 99 万円 119 万円 129 万円 199 万円 細胞加工開始後~細胞投与前 99 万円 119 万円 129 万円 199 万円 細胞投与後 治療費用全額をお支払いいただきます 13. 細胞提供者及び再生医療等を受ける者に対する健康被害の補償の方法 健康被害が発生した場合は、適切な医療を提供するほか、補償については協議に応じます。 また、万が一に備え、日本整形外科学会の医師賠償責任保険に加入しています。 14. 代替治療とその,,
A,P00794,F0540,近畿,大阪府,ソラリス整形外科 大阪 福島リハビリテーションクリニック,ソラリス整形外科 大阪 福島リハビリテーションクリニック,ソラリス整形外科 大阪 福島リハビリテーションクリニック,第二種,自家脂肪組織由来の培養間葉系幹細胞を用いた関節疾患の治療,脂肪由来MSC,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504015/5/0,1990000,税別,1 回,,,-1,,"投与細胞数 治療費用(税別) 1 約3,000 万個×1 回分 99 万円 2 約5,000 万個×1 回分 119 万円 3 約1 億個×1 回分 129 万円 4 約3,000 万個×3 回分 199 万円 なお、脂肪組織の採取の施術開始後や細胞加工の開始後、あるいは3 回投与の場合に1 回目投 与の後や2 回目投与の後に同意を撤回された場合など、それまでに費用が発生している場合は、 以下の通り、患者様ご自身にご負担いただきますのでご了承ください。 同意撤回の時期 キャンセル費用(税別) 1 2 3 4 同意日",,
A,P00794,F0540,近畿,大阪府,ソラリス整形外科 大阪 福島リハビリテーションクリニック,ソラリス整形外科 大阪 福島リハビリテーションクリニック,ソラリス整形外科 大阪 福島リハビリテーションクリニック,第二種,自家脂肪組織由来の培養間葉系幹細胞を用いた関節疾患の治療,脂肪由来MSC,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504015/5/0,1990000,不明,,,,-1,,2 3 4 同意日~脂肪採取予定日の3 日前 一律 5 万円 をお支払いいただきます 脂肪採取予定日の2 日前 ~脂肪採取当日の脂肪組織採取前 一律 10 万円をお支払いいただきます 脂肪組織採取後~細胞加工開始前 99 万円 119 万円 129 万円 199 万円 細胞加工開始後~細胞投与前 99 万円 119 万円 129 万円 199 万円 細胞投与後 治療費用全額をお支払いいただきます 13. 細胞提供者及び再生医療等を受ける者に対する健康被害の補償の方法 健康被害が発生した場合は、適切な医療を提供するほか、補償については協議に応じます。 また、万が一に備え、,,
A,P00794,F0540,近畿,大阪府,ソラリス整形外科 大阪 福島リハビリテーションクリニック,ソラリス整形外科 大阪 福島リハビリテーションクリニック,ソラリス整形外科 大阪 福島リハビリテーションクリニック,第二種,自家脂肪組織由来の培養間葉系幹細胞を用いた関節疾患の治療,脂肪由来MSC,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2504015/5/0,50000,税別,1 回,,,-2,,の場合に1 回目投 与の後や2 回目投与の後に同意を撤回された場合など、それまでに費用が発生している場合は、 以下の通り、患者様ご自身にご負担いただきますのでご了承ください。 同意撤回の時期 キャンセル費用(税別) 1 2 3 4 同意日~脂肪採取予定日の3 日前 一律 5 万円 をお支払いいただきます 脂肪採取予定日の2 日前 ~脂肪採取当日の脂肪組織採取前 一律 10 万円をお支払いいただきます 脂肪組織採取後~細胞加工開始前 99 万円 119 万円 129 万円 199 万円 細胞加工開始後~細胞投与前 99 万円 119 万円 129 万円 199 万円 細胞,,
A,P00795,F0541,近畿,大阪府,トリニティクリニック大阪,トリニティクリニック大阪,トリニティクリニック大阪,第二種,自家脂肪由来間葉系幹細胞を用いた変形性膝関節症の治療,脂肪由来MSC,QC,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2601008/5/0,1400000,税込,,,,6,9,費用(税込み) 1 億 140 万円 本治療を開始する前、あるいは途中で中止される場合においても、脂肪組織採取後は、お支払い ただいた費用の一部は返還できませんのであらかじめご了承ください。,price candidates remain ambiguous,
A,P00796,F0542,近畿,大阪府,一般社団法人隆起会 おおたき整形外科,一般社団法人隆起会 おおたき整形外科,一般社団法人隆起会 おおたき整形外科,第二種,自己多血小板血漿（PRP）療法（治療対象：関節炎・変形性関節症）,PRP,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2604017/5/0,82500,税込,1回,,,9,,"にかかる費用の総額となります。 なお、本治療は1回の採血(60mL)につき、投与3回分(各投与約 5mL、最大で約15mL)のPRPを製造いたします。左右両側に投与す る場合は、2回分です。 凍結PRPを用いた治療(1回目) 165,000円(税込) 凍結PRPを用いた治療(2回目) 82,500円(税込) 凍結PRPを用いた治療(3回目) 41,250円(税込) ※投与3回行った場合、合計288,750円となります。ただし、2回目 及び3回目の採血はございません。 ※投与できる期間は採血から最大6か月以内となります。 ※本治療では必要に応じ検査を行い、PRP治療を行うか判断いたし ます。 検査を行った場合の費用は、",,
A,P00796,F0542,近畿,大阪府,一般社団法人隆起会 おおたき整形外科,一般社団法人隆起会 おおたき整形外科,一般社団法人隆起会 おおたき整形外科,第二種,自己多血小板血漿（PRP）療法（治療対象：関節炎・変形性関節症）,PRP,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2604017/5/0,165000,税込,1回,,,9,,"う診査、PRP調整のための採血にかかる費用、 PRP調整費用、投与にかかる費用の総額となります。 なお、本治療は1回の採血(60mL)につき、投与3回分(各投与約 5mL、最大で約15mL)のPRPを製造いたします。左右両側に投与す る場合は、2回分です。 凍結PRPを用いた治療(1回目) 165,000円(税込) 凍結PRPを用いた治療(2回目) 82,500円(税込) 凍結PRPを用いた治療(3回目) 41,250円(税込) ※投与3回行った場合、合計288,750円となります。ただし、2回目 及び3回目の採血はございません。 ※投与できる期間は採血から最大6か月以内となります。 ※本治療では必要に応じ検査を行い、PRP治療",,
A,P00796,F0542,近畿,大阪府,一般社団法人隆起会 おおたき整形外科,一般社団法人隆起会 おおたき整形外科,一般社団法人隆起会 おおたき整形外科,第二種,自己多血小板血漿（PRP）療法（治療対象：関節炎・変形性関節症）,PRP,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2604017/5/0,41250,税込,3回分,,,1,,"L)につき、投与3回分(各投与約 5mL、最大で約15mL)のPRPを製造いたします。左右両側に投与す る場合は、2回分です。 凍結PRPを用いた治療(1回目) 165,000円(税込) 凍結PRPを用いた治療(2回目) 82,500円(税込) 凍結PRPを用いた治療(3回目) 41,250円(税込) ※投与3回行った場合、合計288,750円となります。ただし、2回目 及び3回目の採血はございません。 ※投与できる期間は採血から最大6か月以内となります。 ※本治療では必要に応じ検査を行い、PRP治療を行うか判断いたし ます。 検査を行った場合の費用は、 円を別途ご負担いただき ます。 【本治療キャンセル時の費用】",,
A,P00796,F0542,近畿,大阪府,一般社団法人隆起会 おおたき整形外科,一般社団法人隆起会 おおたき整形外科,一般社団法人隆起会 おおたき整形外科,第二種,自己多血小板血漿（PRP）療法（治療対象：関節炎・変形性関節症）,PRP,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2604017/5/0,288750,税込,2回分,,,1,,"15mL)のPRPを製造いたします。左右両側に投与す る場合は、2回分です。 凍結PRPを用いた治療(1回目) 165,000円(税込) 凍結PRPを用いた治療(2回目) 82,500円(税込) 凍結PRPを用いた治療(3回目) 41,250円(税込) ※投与3回行った場合、合計288,750円となります。ただし、2回目 及び3回目の採血はございません。 ※投与できる期間は採血から最大6か月以内となります。 ※本治療では必要に応じ検査を行い、PRP治療を行うか判断いたし ます。 検査を行った場合の費用は、 円を別途ご負担いただき ます。 【本治療キャンセル時の費用】 期間 キャンセル費用 同意~採血前 全額返金いたしま",,
A,P00797,F0543,近畿,大阪府,医療法人 井上クリニック,医療法人 井上クリニック,医療法人 井上クリニック,第二種,自己多血小板血漿（PRP）を用いた変形性関節症治療,PRP,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2104016/5/0,70000,税別,1部位,,,13,9,治療に伴う診査、自己PRP調製のための採血にかかる費用、自己 PRP調製費用、投与の総額となります。 治療費は、1部位につき、7万円(税抜)です。 投与部位、投与量によらず一律。 (採血量の目安),line-level strong price context,
A,P00798,F0544,近畿,大阪府,医療法人 凉庵会 整形外科 吉田クリニック,医療法人 凉庵会 整形外科 吉田クリニック,医療法人 凉庵会 整形外科 吉田クリニック,第二種,多血小板血漿（PRP）の投与による変形性関節症治療,PRP,AUTO,1.0,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2603006/5/0,100000,不明,1回,APS|GPS,Zimmer Biomet,8,,"には否定できない 品質管理された安全性の高いものだが、アレルギー反応などの可能 性を完全には否定できない 11. 治療にかかる費用について この治療は公的保険の対象ではありませんので、当クリニックの所 定の施術料をお支払いいただきます。 ・PRPを用いた治療(GPSIIIキット使用)における施術料 100,000 円 ・濃縮PRPを用いた治療(APSキット使用)における施術料 300,000 円 ご不明な点は医師・スタッフにお尋ねください。なお1回の施術あ たりの費用は、患部の状態を確認した医師の判断、PRPの遠心回数 等により変更となる場合がございます。 12. その他治療についての注意事 項",,
