prefecture	facility	product	facility_label_maker	legal_manufacturer	japan_mah_or_supplier	evidence_type	evidence_url	note
神奈川県	医療法人颯成会 さいとう整形クリニック	ACP	Arthrex	Arthrex	Arthrex Japan	V41_CORE_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	Current v41 core facility; current Arthrex ACP-PRP locator match.
東京都	日本大学病院	ACP	Arthrex	Arthrex	Arthrex Japan	FACILITY_OFFICIAL_EXPLICIT	https://www.nihon-u.ac.jp/hospital/division/orthopedics	Current hospital official page explicitly states Arthrex ACP Double Syringe System.
岐阜県	医療法人ごとう整形外科	ACP	Arthrex	Arthrex	Arthrex Japan	V40_CORE_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	V40 F0470; current Arthrex ACP-PRP locator exact facility match.
福岡県	医療法人同信会 福岡整形外科病院	HD-PRP	Arthrex	Arthrex	Arthrex Japan	FACILITY_OFFICIAL_EXPLICIT_PLUS_LOCATOR	https://www.fukuokaseikei.com/hospital/advanced/hd-prp/	Current hospital official page states Arthrex Japan Angel cPRP kit; current Arthrex locator lists HD-PRP.
北海道	医療法人社団みつわ整形外科クリニック	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V40 F0038; current Zimmer APS locator exact address match.
宮城県	独立行政法人地域医療機能推進機構仙台病院	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V40 F0144; current Zimmer APS locator exact address match.
千葉県	医療法人鉄蕉会 亀田総合病院	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V40 F0070; current Zimmer APS locator exact address match.
東京都	アットホーム表参道クリニック	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	V41_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V41 core; current Zimmer APS locator exact address match.
滋賀県	長浜赤十字病院	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	V41_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V41 core; current Zimmer APS locator exact address match.
神奈川県	医療法人社団三穂会 三宅整形外科小児科クリニック	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	V41_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V41 current core; Zimmer APS locator normalized-exact and address-exact at 横須賀市浦賀5-2-3.
福岡県	医療法人 同信会 福岡整形外科病院	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	V41_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Existing Arthrex facility; add Zimmer APS from current exact-address manufacturer locator.
京都府	Clinique Haru Kyoto	MyCells	ESTAR Technologies	ESTAR Technologies	ESTAR TECHNOLOGIES LTD.	MHLW_EXACT_PLAN_ATTACHMENT_PLUS_REGISTRY	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605018/5/1	Exact MHLW attachment lists MyCells; current registry validates ESTAR Technologies.
京都府	Clinique Haru Kyoto	TriCeLL	REV-MED	REV-MED	REV-MED Inc.	MHLW_EXACT_PLAN_ATTACHMENT_PLUS_REGISTRY	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605018/5/1	Exact MHLW attachment lists TriCeLL; current registry validates REV-MED.
京都府	Clinique Haru Kyoto	YCELL	Ycellbio Medical	Ycellbio Medical	Ycellbio Medical Co., Ltd	MHLW_EXACT_PLAN_ATTACHMENT_PLUS_REGISTRY	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605018/5/1	Exact MHLW attachment lists YCELL; current registry validates Ycellbio Medical.
石川県	金沢医科大学病院	MAGELLAN	Arteriocyte Medical Systems	Arteriocyte Medical Systems	Arteriocyte Medical Systems, Inc.	FACILITY_OFFICIAL_EXPLICIT	https://www.kanazawa-med.ac.jp/~hospital/specializedoutpatient/prp.html	Official hospital PRP page lists MAGELLAN.
東京都	仙川整形外科	Condensia	京セラ	京セラ	京セラ	FACILITY_OFFICIAL_EXPLICIT	https://sengawa-ortho.jp/prp/	Official clinic page explicitly states Kyocera Condensia.
千葉県	医療法人社団仁敬会 そがセントラルクリニック	MAGELLAN	Arteriocyte Medical Systems	Arteriocyte Medical Systems	Arteriocyte Medical Systems, Inc.	FACILITY_OFFICIAL_EXPLICIT	https://www.soga-centralclinic.jp/prp/	Official clinic page states MAGELLAN system.
千葉県	医療法人社団淳英会 おゆみの中央病院	MyCells	ESTAR Technologies	ESTAR Technologies	ESTAR TECHNOLOGIES LTD.	FACILITY_OFFICIAL_EXPLICIT	https://www.oyumino-central.jp/department/prp/index.php	Official hospital page states Mycells kit.
大分県	医療法人社団唱和会 明野中央病院	Condensia	京セラ	京セラ	京セラ	FACILITY_OFFICIAL_EXPLICIT	https://www.akenohp.jp/drugtherapy/prpaps	Official hospital page states Kyocera Condensia.
東京都	医療法人社団TSOC 東京スポーツ＆整形外科クリニック	ACP|ACP MAX	Arthrex	Arthrex	Arthrex Japan	MHLW_EXACT_PLAN_PRICE_TABLE	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2511021/5/0	Exact MHLW plan price table lists ACP double syringe and ACP MAX for F0219.
東京都	医療法人社団TSOC 東京スポーツ＆整形外科クリニック	Condensia	京セラ	京セラ	京セラ	MHLW_EXACT_PLAN_PRICE_TABLE	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2511021/5/0	Exact MHLW plan price table lists Condensia system for F0219.
東京都	東京城南整形外科	Condensia	京セラ	京セラ	京セラ	MHLW_EXACT_PLAN_PRICE_TABLE	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2603014/5/0	Exact MHLW plan price table lists Kyocera Condensia kit.
埼玉県	医療法人社団鴻愛会 こうのす共生病院	Condensia	京セラ	京セラ	京セラ	FACILITY_OFFICIAL_EXPLICIT	https://kouaikai.jp/section/regenerative-medicine/prp/	Current hospital official page explicitly identifies Condensia system and Kyocera Medical; v40 core F0102.
千葉県	医療法人社団淳英会 Jメディカルおゆみの	MyCells	ESTAR Technologies	ESTAR Technologies	ESTAR TECHNOLOGIES LTD.	FACILITY_OFFICIAL_EXPLICIT_PLUS_REGISTRY	https://www.j-medical-oyumino.jp/biotherapy.html	Current official page lists Mycells kit; validated registry maps MyCells to ESTAR Technologies.
熊本県	リハビリテーションセンター熊本回生会病院	MyCells	ESTAR Technologies	ESTAR Technologies	ESTAR TECHNOLOGIES LTD.	MHLW_EXACT_PLAN_EXPLICIT_PLUS_REGISTRY	https://saiseiiryo.mhlw.go.jp/published_plan/download/02G2308003/5/0	Exact MHLW explanation explicitly states MyCells tubes; validated registry maps MyCells to ESTAR Technologies.
東京都	医療法人社団豊饒会 RDクリニック東京銀座	Condensia	京セラ	京セラ	京セラ	FACILITY_OFFICIAL_EXPLICIT_PLUS_MHLW_CURRENT	https://asc.rederm.com/regenerative-medicine/prp/	Current official PRP page explicitly states Kyocera Condensia; current MHLW index lists facility PRP plan.
大阪府	ひらまつ整形外科 難波膝スポーツクリニック	Condensia	京セラ	京セラ	京セラ	FACILITY_OFFICIAL_EXPLICIT	https://www.h-nksc.jp/private_medical/p_03.html	Current official page explicitly lists Kyocera Condensia for PRP therapy.
大阪府	医療法人新和会 朝田整形外科	Condensia	京セラ	京セラ	京セラ	FACILITY_OFFICIAL_EXPLICIT	https://asada-seikei.jimdoweb.com/prp%E7%99%82%E6%B3%95/	Current official page explicitly lists Kyocera Condensia.
埼玉県	医療法人社団春陽会 大宮リビータ整形外科	Condensia	京セラ	京セラ	京セラ	FACILITY_OFFICIAL_PRODUCT_MAP	https://omiya-revita-seikei.com/treatment_area/joint-disorders/	Current official page lists Condensia PRP; validated registry maps Condensia to Kyocera.
東京都	独立行政法人国立病院機構村山医療センター	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	MHLW_TREATMENT_NAME_EXPLICIT	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2604028/5/0	Current MHLW treatment name explicitly states APS intra-articular therapy; validated registry maps APS to Zimmer Biomet.
石川県	医療法人社団浅ノ川 浅ノ川総合病院	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	MHLW_EXACT_PLAN_MANUFACTURER_EXPLICIT	https://saiseiiryo.mhlw.go.jp/published_plan/download/02D2409020/5/0	Current MHLW patient explanation explicitly states ZIMMER BIOMET APS III system.
鹿児島県	恒心会おぐら病院	GPS|APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	MHLW_EXACT_PLAN_VALIDATED_PRODUCT_MAP	https://saiseiiryo.mhlw.go.jp/published_plan/download/02G2506001/5/0	Current MHLW plan explicitly lists GPS III system and APS kit; validated registry maps GPS/APS to Zimmer Biomet.
東京都	一般社団法人SOL SOL整形外科世田谷スポーツクリニック	PEAK	DSM Biomedical	DSM Biomedical	DSM Biomedical	MHLW_EXACT_PLAN_MANUFACTURER_EXPLICIT	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2206037/5/0	Exact MHLW price text explicitly states DSM Biomedical PRP system; facility already canonical for Arthrex.
岡山県	医療法人社団きびじ整形外科・内科・リハビリクリニック	PRP作製システム	京セラ	京セラ	京セラ	FACILITY_OFFICIAL_MANUFACTURER_EXPLICIT	https://kibiji-seikei.com/prp/	Current official PRP page explicitly states use of Kyocera PRP preparation system.
福岡県	医療法人一寿会 西尾病院	ACP	Arthrex	Arthrex	Arthrex Japan	FACILITY_OFFICIAL_PRODUCT_MAP	https://ichiju-kai.jp/pickup/prp/	Current hospital official PRP page explicitly states ACP PRP therapy; validated registry maps ACP to Arthrex.
